pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,pl_rade,pl_name,discoverymethod,y,planet_type
263.9785,14.651552,700.0,5198.0,0.98,13.9,55 Cnc b,Radial Velocity,3,Gas Giant
7.99,0.7365474,1958.0,5172.0,0.943,1.875,55 Cnc e,Radial Velocity,1,Super-Earth
1147.36054927,8905.0,1400.0,6140.0,1.25,13.0,AF Lep b,Imaging,3,Gas Giant
20.12,8.46308,600.0,3678.0,0.744,3.95677019,AU Mic b,Transit,2,Neptune-like
9.6,18.85969,459.0,3678.0,0.744,2.52202066,AU Mic c,Transit,2,Neptune-like
22.2481,41.6855,546.0,5766.0,1.08,2.57807,BD+20 594 b,Transit,2,Neptune-like
3932.0,4.2889731,2001.0,6935.0,2.35,21.59,BD-14 3065 b,Transit,3,Gas Giant
0.299,3.1542,438.0,3195.0,0.185,0.72,Barnard b,Radial Velocity,0,Terrestrial
0.335,4.1244,400.0,3195.0,0.185,0.743,Barnard c,Radial Velocity,0,Terrestrial
0.263,2.3402,483.0,3195.0,0.185,0.694,Barnard d,Radial Velocity,0,Terrestrial
0.193,6.7392,340.0,3195.0,0.185,0.637,Barnard e,Radial Velocity,0,Terrestrial
3.95,2.2907,464.0,3130.0,0.175,1.82,CD Cet b,Radial Velocity,1,Super-Earth
2479.0615746,8040000.0,1800.0,2320.0,0.245,20.8487041,CFHTWIR-Oph 98 b,Imaging,3,Gas Giant
2542.627256,402000000.0,434.0,3406.0,0.388,12.44196858,COCONUTS-2 b,Imaging,3,Gas Giant
327.35,1.5089557,1898.0,5950.0,1.11,16.7,CoRoT-1 b,Transit,3,Gas Giant
874.0,13.2406,600.0,5075.0,0.79,10.87,CoRoT-10 b,Transit,3,Gas Giant
740.51,2.99433,1657.0,6440.0,1.37,16.03,CoRoT-11 b,Transit,3,Gas Giant
291.438,2.828042,1442.0,5675.0,1.116,16.14,CoRoT-12 b,Transit,3,Gas Giant
415.704,4.03519,1700.0,5945.0,1.01,9.92,CoRoT-13 b,Transit,3,Gas Giant
2415.4,1.51214,1952.0,6035.0,1.21,12.22,CoRoT-14 b,Transit,3,Gas Giant
772.29,3.7681,1626.0,5740.0,1.59,11.43,CoRoT-17 b,Transit,3,Gas Giant
1102.82,1.9000693,1550.0,5440.0,1.0,14.68,CoRoT-18 b,Transit,3,Gas Giant
352.78,3.89713,2000.0,6090.0,1.65,14.46,CoRoT-19 b,Transit,3,Gas Giant
1102.82,1.7429935,1521.0,5625.0,0.906,16.432,CoRoT-2 b,Transit,3,Gas Giant
1366.669,9.24285,1024.0,5880.0,1.02,9.41556,CoRoT-20 b,Transit,3,Gas Giant
12.2,9.75598,885.0,5939.0,1.136,4.88,CoRoT-22 b,Transit,2,Neptune-like
889.9,3.6313,1660.0,5900.0,1.61,11.77,CoRoT-23 b,Transit,3,Gas Giant
5.7,5.1134,1070.0,4950.0,0.86,3.7,CoRoT-24 b,Transit,2,Neptune-like
28.0,11.759,850.0,4950.0,0.86,5.0,CoRoT-24 c,Transit,2,Neptune-like
85.81,4.86069,1330.0,6040.0,1.19,12.11,CoRoT-25 b,Transit,3,Gas Giant
165.26,4.20474,1600.0,5590.0,1.79,14.12,CoRoT-26 b,Transit,3,Gas Giant
3302.11,3.57532,1500.0,5900.0,1.08,11.287,CoRoT-27 b,Transit,3,Gas Giant
6883.91,4.2568,1695.0,6740.0,1.56,11.32,CoRoT-3 b,Transit,3,Gas Giant
47.6745,6.71837,938.0,5970.0,0.79,6.38913,CoRoT-32 b,Transit,3,Gas Giant
349.6112477,3.22748,1747.0,6390.0,1.65,18.83108758,CoRoT-35 b,Transit,3,Gas Giant
216.12331676,5.616531,1567.0,6730.0,1.52,15.80466279,CoRoT-36 b,Transit,3,Gas Giant
228.83,9.20205,1074.0,6190.0,1.17,13.34,CoRoT-4 b,Transit,3,Gas Giant
148.42,4.0378962,1438.0,6100.0,1.186,15.558,CoRoT-5 b,Transit,3,Gas Giant
940.74,8.886593,1017.0,6090.0,1.025,13.068,CoRoT-6 b,Transit,3,Gas Giant
4.07660518,0.85359163,1756.0,5275.0,0.83,1.68135,CoRoT-7 b,Transit,1,Super-Earth
69.92,6.21229,870.0,5080.0,0.77,6.39,CoRoT-8 b,Transit,3,Gas Giant
266.9772,95.272656,420.0,5625.0,0.96,11.948794,CoRoT-9 b,Transit,3,Gas Giant
24.27,18.57,877.0,6196.0,1.26,5.29,DMPP-1 b,Radial Velocity,2,Neptune-like
9.6,6.584,1239.0,6196.0,1.26,3.06,DMPP-1 c,Radial Velocity,2,Neptune-like
3.35,2.882,1632.0,6196.0,1.26,1.65,DMPP-1 d,Radial Velocity,1,Super-Earth
4.13,5.516,1314.0,6196.0,1.26,1.86,DMPP-1 e,Radial Velocity,1,Super-Earth
138.89171,5.2072,1000.0,6500.0,1.78,14.3,DMPP-2 b,Radial Velocity,3,Gas Giant
2.58,6.6732,854.0,5138.0,0.91,1.41,DMPP-3 A b,Radial Velocity,1,Super-Earth
413.179,8.138268,850.0,5428.0,0.964,5.7,DS Tuc A b,Transit,2,Neptune-like
7.67,0.87724,2038.0,5679.0,0.98,1.565,EPIC 201595106 b,Transit,1,Super-Earth
2.27,8.050722,960.6,5502.7,0.83,1.31,EPIC 205950854 c,Transit,1,Super-Earth
4.35,21.1701963,431.0,4057.0,0.58,1.92,EPIC 211822797 b,Transit,1,Super-Earth
11.0,19.49221,817.0,6069.0,1.39,5.76,EPIC 211945201 b,Transit,2,Neptune-like
2.79,2.289363,1149.0,5171.0,0.8,1.48,EPIC 212297394 b,Transit,1,Super-Earth
5.77,5.213965,866.0,5171.0,0.8,2.27,EPIC 212297394 c,Transit,2,Neptune-like
2.13,15.28078,756.0,6004.0,0.98,1.26,EPIC 212587672 b,Transit,1,Super-Earth
5.99,23.228555,658.0,6004.0,0.98,2.32,EPIC 212587672 c,Transit,2,Neptune-like
7.2,13.603,536.0,4684.0,0.673,2.586,EPIC 212737443 b,Transit,2,Neptune-like
7.7,65.55,316.0,4684.0,0.673,2.69,EPIC 212737443 c,Transit,2,Neptune-like
7.8,0.5713127,2299.0,5578.0,0.99,1.676,EPIC 220674823 b,Transit,1,Super-Earth
7.32,13.33989,804.0,5578.0,0.99,2.84,EPIC 220674823 c,Transit,2,Neptune-like
1.37,0.728113,932.0,3782.0,0.32,1.1,EPIC 228836835 b,Transit,0,Terrestrial
10.4,16.141132,804.0,5868.0,0.999,2.332,EPIC 229004835 b,Transit,2,Neptune-like
953.49,6.180235,1401.0,6202.0,1.586,11.780659,EPIC 246851721 b,Transit,3,Gas Giant
4131.79,3650.0,183.0,4898.0,2.7,12.44199,EPIC 248847494 b,Transit,3,Gas Giant
8.75,3.5951,1616.0,5430.0,1.71,1.95,EPIC 249893012 b,Transit,1,Super-Earth
14.67,15.624,990.0,5430.0,1.71,3.67,EPIC 249893012 c,Transit,2,Neptune-like
10.18,35.747,752.0,5430.0,1.71,3.94,EPIC 249893012 d,Transit,2,Neptune-like
1.03,2.27476,453.6,2999.0,0.170718,1.02,G 192-15 b,Radial Velocity,0,Terrestrial
14.3,1219.0,55.9,2999.0,0.170718,3.87,G 192-15 c,Radial Velocity,2,Neptune-like
1.37,5.4536,322.3,2907.0,0.153162,1.1,G 261-6 b,Radial Velocity,0,Terrestrial
2.5,2.30538,587.0,3326.0,0.305,1.39,G 264-012 b,Radial Velocity,1,Super-Earth
3.75,8.0518,387.0,3326.0,0.305,1.76,G 264-012 c,Radial Velocity,1,Super-Earth
